open,high,low,close,tick_volume,date,time_only,noisy_day
3300.54,3310.3,3299.35,3301.48,13774,2025-07-08,20:00:00,False
3302.39,3307.91,3297.26,3307.01,7672,2025-07-09,00:00:00,False
3307.13,3307.27,3284.96,3293.99,12900,2025-07-09,04:00:00,False
3293.97,3297.8,3282.77,3284.98,14361,2025-07-09,08:00:00,False
3284.94,3297.49,3283.26,3296.42,13069,2025-07-09,12:00:00,False
3296.27,3313.26,3291.95,3311.89,16293,2025-07-09,16:00:00,False
3311.74,3316.79,3308.06,3313.55,11463,2025-07-09,20:00:00,False
3314.0,3321.82,3313.52,3317.68,6967,2025-07-10,00:00:00,False
3317.66,3326.3,3314.82,3322.22,10773,2025-07-10,04:00:00,False
3322.25,3330.11,3319.89,3328.69,12391,2025-07-10,08:00:00,False
3328.63,3330.25,3317.98,3323.83,13577,2025-07-10,12:00:00,False
3323.9,3329.48,3310.12,3315.12,16592,2025-07-10,16:00:00,False
3315.02,3325.94,3314.63,3323.85,11378,2025-07-10,20:00:00,False
3324.18,3336.13,3321.78,3330.64,7798,2025-07-11,00:00:00,False
3330.46,3336.02,3325.26,3332.0,12967,2025-07-11,04:00:00,False
3331.99,3343.82,3331.18,3333.03,16228,2025-07-11,08:00:00,False
3333.03,3357.01,3332.79,3355.12,16049,2025-07-11,12:00:00,False
3355.34,3368.75,3350.17,3353.82,19547,2025-07-11,16:00:00,False
3353.68,3359.71,3349.22,3355.5,13753,2025-07-11,20:00:00,False
3362.47,3373.94,3359.59,3367.65,11901,2025-07-14,00:00:00,False
3367.39,3370.18,3353.74,3359.76,17062,2025-07-14,04:00:00,False
3359.68,3374.92,3353.82,3365.95,17529,2025-07-14,08:00:00,False
3366.0,3374.63,3349.37,3350.11,16865,2025-07-14,12:00:00,False
3350.38,3358.99,3341.05,3347.78,19226,2025-07-14,16:00:00,False
3347.81,3351.67,3340.71,3343.26,12713,2025-07-14,20:00:00,False
3344.06,3349.32,3341.23,3347.64,5303,2025-07-15,00:00:00,False
3347.42,3361.33,3345.86,3360.26,10989,2025-07-15,04:00:00,False
3360.23,3365.55,3356.73,3361.05,12879,2025-07-15,08:00:00,False
3361.0,3366.73,3346.42,3348.81,14341,2025-07-15,12:00:00,False
3349.14,3352.4,3320.25,3329.26,17991,2025-07-15,16:00:00,False
3329.39,3331.9,3324.6,3324.65,11225,2025-07-15,20:00:00,False
3324.68,3332.76,3323.78,3330.5,6275,2025-07-16,00:00:00,False
3330.75,3338.61,3325.11,3338.29,12825,2025-07-16,04:00:00,False
3338.23,3342.85,3335.78,3342.14,12892,2025-07-16,08:00:00,False
3342.06,3342.99,3331.01,3334.58,14601,2025-07-16,12:00:00,False
3334.78,3377.48,3319.62,3349.02,22107,2025-07-16,16:00:00,False
3349.25,3357.29,3346.1,3346.99,13266,2025-07-16,20:00:00,False
3350.79,3352.22,3339.69,3340.9,6760,2025-07-17,00:00:00,False
